DATA INICIAL,DATA FINAL,ESTADO,CIDADE,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,COEF DE VARIACAO REVENDA
8/4/2024,8/10/2024,SAO PAULO,FRANCA,ETANOL HIDRATADO,19,R$/l,"3,92","0,073","3,75","3,99","0,019"
8/4/2024,8/10/2024,PERNAMBUCO,GARANHUNS,ETANOL HIDRATADO,4,R$/l,"4,47","0,091","4,37","4,59","0,020"
8/4/2024,8/10/2024,SAO PAULO,GARCA,ETANOL HIDRATADO,6,R$/l,"3,76","0,123","3,67","3,99","0,033"
8/4/2024,8/10/2024,GOIAS,GOIANIA,ETANOL HIDRATADO,42,R$/l,"3,89","0,231","3,49","4,47","0,059"
8/4/2024,8/10/2024,GOIAS,GOIATUBA,ETANOL HIDRATADO,3,R$/l,"4,20","0,407","3,74","4,49","0,097"
8/4/2024,8/10/2024,MINAS GERAIS,GOVERNADOR VALADARES,ETANOL HIDRATADO,14,R$/l,"4,53","0,032","4,47","4,59","0,007"
8/4/2024,8/10/2024,RIO GRANDE DO SUL,GRAVATAI,ETANOL HIDRATADO,4,R$/l,"4,51","0,222","4,29","4,79","0,049"
8/4/2024,8/10/2024,RIO GRANDE DO SUL,GUAIBA,ETANOL HIDRATADO,4,R$/l,"4,69","0,200","4,39","4,79","0,043"
8/4/2024,8/10/2024,BAHIA,GUANAMBI,ETANOL HIDRATADO,8,R$/l,"4,43","0,153","4,22","4,68","0,034"
8/4/2024,8/10/2024,PARANA,GUARAPUAVA,ETANOL HIDRATADO,13,R$/l,"3,89","0,088","3,74","3,99","0,023"
8/4/2024,8/10/2024,SAO PAULO,GUARATINGUETA,ETANOL HIDRATADO,9,R$/l,"4,12","0,203","3,79","4,39","0,049"
8/4/2024,8/10/2024,SAO PAULO,GUARUJA,ETANOL HIDRATADO,10,R$/l,"4,27","0,557","3,88","5,69","0,130"
8/4/2024,8/10/2024,MINAS GERAIS,GUAXUPE,ETANOL HIDRATADO,8,R$/l,"3,88","0,194","3,63","4,19","0,050"
8/4/2024,8/10/2024,TOCANTINS,GURUPI,ETANOL HIDRATADO,7,R$/l,"4,71","0,140","4,59","4,99","0,030"
8/4/2024,8/10/2024,SAO PAULO,HORTOLANDIA,ETANOL HIDRATADO,10,R$/l,"3,80","0,088","3,69","3,95","0,023"
8/4/2024,8/10/2024,CEARA,ICO,ETANOL HIDRATADO,7,R$/l,"5,09","0,342","4,39","5,45","0,067"
8/4/2024,8/10/2024,PERNAMBUCO,IGARASSU,ETANOL HIDRATADO,7,R$/l,"4,69","0,000","4,69","4,69","0,000"
8/4/2024,8/10/2024,CEARA,IGUATU,ETANOL HIDRATADO,4,R$/l,"5,11","0,096","4,99","5,19","0,019"
8/4/2024,8/10/2024,RIO GRANDE DO SUL,IJUI,ETANOL HIDRATADO,2,R$/l,"4,86","0,523","4,49","5,23","0,108"
8/4/2024,8/10/2024,BAHIA,ILHEUS,ETANOL HIDRATADO,11,R$/l,"4,60","0,045","4,51","4,66","0,010"
8/4/2024,8/10/2024,MARANHAO,IMPERATRIZ,ETANOL HIDRATADO,12,R$/l,"4,76","0,205","4,49","5,19","0,043"
8/4/2024,8/10/2024,SAO PAULO,INDAIATUBA,ETANOL HIDRATADO,11,R$/l,"3,85","0,182","3,59","4,19","0,047"
8/4/2024,8/10/2024,MINAS GERAIS,IPATINGA,ETANOL HIDRATADO,9,R$/l,"4,46","0,070","4,39","4,59","0,016"
8/4/2024,8/10/2024,BAHIA,IPIRA,ETANOL HIDRATADO,7,R$/l,"4,37","0,236","4,17","4,89","0,054"
8/4/2024,8/10/2024,BAHIA,IRECE,ETANOL HIDRATADO,5,R$/l,"4,46","0,162","4,25","4,59","0,036"
8/4/2024,8/10/2024,SERGIPE,ITABAIANA,ETANOL HIDRATADO,1,R$/l,"4,69","0,000","4,69","4,69","0,000"
8/4/2024,8/10/2024,RIO DE JANEIRO,ITABORAI,ETANOL HIDRATADO,10,R$/l,"4,37","0,295","4,09","4,99","0,067"
8/4/2024,8/10/2024,BAHIA,ITABUNA,ETANOL HIDRATADO,9,R$/l,"4,57","0,028","4,53","4,64","0,006"
8/4/2024,8/10/2024,SANTA CATARINA,ITAJAI,ETANOL HIDRATADO,12,R$/l,"4,27","0,157","4,15","4,59","0,037"
8/4/2024,8/10/2024,MINAS GERAIS,ITAJUBA,ETANOL HIDRATADO,6,R$/l,"4,18","0,038","4,14","4,24","0,009"
8/4/2024,8/10/2024,BAHIA,ITAMARAJU,ETANOL HIDRATADO,8,R$/l,"4,65","0,035","4,59","4,69","0,008"
